pid,weight,x_utm,y_utm,lat,lon
119,76.6904761904762,550495.4963421392,5274760.58343232,47.6242793,-122.3279397
120,76.6904761904762,550596.0075785458,5274761.966560414,47.62428390000001,-122.3266019
121,76.6904761904762,550692.1943727774,5274763.791730124,47.6242928,-122.32532160000001
122,76.6904761904762,550788.224704652,5274765.461519744,47.624300299999994,-122.3240434
123,90.91666666666669,550863.4590137935,5274763.35019195,47.624275399999995,-122.3230424
124,90.91666666666669,550942.1291064052,5274763.615057399,47.62427159999999,-122.32199540000002
125,90.91666666666669,551020.676462753,5274764.168890741,47.6242704,-122.32095
126,33.118958921703154,551178.6990495487,5274765.72135418,47.62427189999999,-122.3188468
127,33.118958921703154,551258.0192219084,5274766.407435682,47.624271799999995,-122.3177911
128,33.118958921703154,551336.4535826986,5274766.997875857,47.62427089999999,-122.31674720000001
129,33.118958921703154,551416.0533224469,5274767.510737352,47.624269199999986,-122.3156878
130,33.118958921703154,551494.5743620354,5274767.648370147,47.62426419999999,-122.31464279999999
131,33.118958921703154,551646.691167058,5274767.483026459,47.6242506,-122.31261840000002
132,59.206350118539376,551257.3618980318,5274413.98978135,47.621101100000004,-122.31784110000001
133,59.206350118539376,551257.0130119745,5274638.191196047,47.6231183,-122.31781949999998
134,33.118958921703154,551235.5577840912,5275049.46661074,47.62682029999999,-122.3180569
135,59.206350118539376,551228.8603728614,5274283.920241649,47.619933100000004,-122.31823560000001
136,59.206350118539376,551226.9482226812,5274413.400036987,47.6210982,-122.3182459
137,93.54311810626854,550342.2583587014,5272158.787682945,47.60088240000001,-122.330278
138,93.54311810626854,550331.187103124,5272065.363102732,47.6000427,-122.33043600000002
139,93.54311810626854,550346.1494576228,5272040.695649729,47.599819600000004,-122.33023980000002
140,93.54311810626854,550343.9931544951,5271972.622549491,47.599207299999996,-122.3302763
141,146.83909249980587,550737.6909773509,5272067.073747785,47.60002639999999,-122.3250284
142,146.83909249980587,550738.0772531923,5271974.28149732,47.5991915,-122.325034
143,89.35456371243312,550738.4699344588,5271882.4785134,47.59836550000001,-122.3250394
144,89.35456371243312,550738.858602985,5271788.541509708,47.59752029999999,-122.3250451
145,89.35456371243312,550739.2558275047,5271694.482334098,47.59667399999999,-122.3250507
146,89.35456371243312,550739.6401693334,5271601.901298277,47.59584099999999,-122.32505630000001
147,0.9694926956448624,550900.430326236,5276461.346389925,47.639549599999995,-122.3223529
148,0.9694926956448624,550973.5865340199,5276461.586088584,47.639546,-122.32137900000001
149,33.118958921703154,550767.3322872242,5274888.307287469,47.62540720000001,-122.3243072
150,72.71646346761983,550804.5454029709,5275276.454565804,47.62889650000001,-122.32376689999998
151,481.6413848528156,549113.1202500318,5273341.886628807,47.6116213,-122.34649600000002
152,481.6413848528156,549145.5913085206,5273379.02725126,47.611953,-122.34605980000002
153,276.03060324118366,549208.3094552202,5273452.189949732,47.6126065,-122.34521710000001
154,481.6413848528156,549272.4670342604,5273525.587813404,47.613261999999985,-122.34435519999998
155,276.03060324118366,549335.7168509325,5273600.379168807,47.6139301,-122.34350519999998
